,Date,Confirmed,New Daily Cases
67,30/01/20,1,1
69,31/01/20,1,0
0,01/02/20,2,1
29,11/02/20,3,1
31,12/02/20,3,0
33,13/02/20,3,0
37,15/02/20,3,0
39,16/02/20,3,0
41,17/02/20,3,0
43,18/02/20,3,0
45,19/02/20,3,0
47,20/02/20,3,0
49,21/02/20,3,0
51,22/02/20,3,0
53,23/02/20,3,0
55,24/02/20,3,0
57,25/02/20,3,0
59,26/02/20,3,0
61,27/02/20,3,0
63,28/02/20,3,0
65,29/02/20,3,0
27,10/02/20,3,0
24,09/02/20,3,0
35,14/02/20,3,0
3,02/02/20,3,0
6,03/02/20,3,0
21,08/02/20,3,0
9,04/02/20,3,0
1,01/03/20,3,0
15,06/02/20,3,0
12,05/02/20,3,0
18,07/02/20,3,0
4,02/03/20,5,2
7,03/03/20,6,1
10,04/03/20,28,22
13,05/03/20,30,2
16,06/03/20,31,1
19,07/03/20,34,3
22,08/03/20,39,5
25,09/03/20,46,7
28,10/03/20,58,12
30,11/03/20,60,2
32,12/03/20,74,14
34,13/03/20,81,7
36,14/03/20,84,3
38,15/03/20,110,26
40,16/03/20,114,4
42,17/03/20,137,23
44,18/03/20,151,14
46,19/03/20,173,22
48,20/03/20,223,50
50,21/03/20,283,60
52,22/03/20,360,77
54,23/03/20,433,73
56,24/03/20,519,86
58,25/03/20,606,87
60,26/03/20,694,88
62,27/03/20,724,30
64,28/03/20,909,185
66,29/03/20,1024,115
68,30/03/20,1251,227
70,31/03/20,1397,146
2,01/04/20,1834,437
5,02/04/20,2069,235
8,03/04/20,2547,478
11,04/04/20,3072,525
14,05/04/20,3577,505
17,06/04/20,4281,704
20,07/04/20,4789,508
23,08/04/20,5274,485
26,09/04/20,5734,460
