Name of State / UT,Confirmed,Cured/Discharged/Migrated,Death,Date,Latitude,Longitude,Total cases
Andhra Pradesh,348,6,4,4/9/2020,15.9129,79.74,348
Andaman and Nicobar Islands,11,0,0,4/9/2020,11.7401,92.6586,11
Arunachal Pradesh,1,0,0,4/9/2020,28.218,94.7278,1
Assam,28,0,0,4/9/2020,26.2006,92.9376,28
Bihar,38,0,1,4/9/2020,25.0961,85.3131,38
Chandigarh,18,7,0,4/9/2020,30.7333,76.7794,18
Chhattisgarh,10,9,0,4/9/2020,21.2787,81.8661,10
Delhi,669,21,9,4/9/2020,28.7041,77.1025,669
Goa,7,0,0,4/9/2020,15.2993,74.124,7
Gujarat,179,25,16,4/9/2020,22.2587,71.1924,179
Haryana,147,28,3,4/9/2020,29.0588,76.0856,147
Himachal Pradesh,18,2,1,4/9/2020,31.1048,77.1734,18
Jammu and Kashmir,158,4,4,4/9/2020,33.7782,76.5762,158
Jharkhand,4,0,0,4/9/2020,23.6102,85.2799,4
Karnataka,181,28,5,4/9/2020,15.3173,75.7139,181
Kerala,345,83,2,4/9/2020,10.8505,76.2711,345
Ladakh,14,10,0,4/9/2020,34.2996,78.2932,14
Madhya Pradesh,229,0,13,4/9/2020,22.9734,78.6569,229
Maharashtra,1135,117,72,4/9/2020,19.7515,75.7139,1135
Manipur,1,1,0,4/9/2020,24.6637,93.9063,1
Mizoram,1,0,0,4/9/2020,23.1645,92.9376,1
Odisha,42,2,1,4/9/2020,20.9517,85.0985,42
Puducherry,5,1,0,4/9/2020,11.9416,79.8083,5
Punjab,101,4,8,4/9/2020,31.1471,75.3412,101
Rajasthan,381,21,3,4/9/2020,27.0238,74.2179,381
Tamil Nadu,738,21,8,4/9/2020,11.1271,78.6569,738
Telengana,427,35,7,4/9/2020,18.1124,79.0193,427
Tripura,1,0,0,4/9/2020,23.9408,91.9882,1
Uttarakhand,33,5,0,4/9/2020,30.0668,79.0193,33
Uttar Pradesh,361,27,4,4/9/2020,26.8467,80.9462,361
West Bengal,103,16,5,4/9/2020,22.9868,87.855,103
