Date,Confirmed,New daily Cases,,,,,
4/3/20,118,0,,,,,
5/3/20,176,58,,,,,
6/3/20,223,47,,,,,
7/3/20,341,118,,,,,
8/3/20,417,76,,,,,
9/3/20,584,167,,,,,
10/3/20,778,194,,,,,
11/3/20,1054,276,,,,,
12/3/20,1315,261,,,,,
13/3/20,1922,607,,,,,
14/3/20,2450,528,,,,,
15/3/20,3173,723,,,,,
16/3/20,4019,846,,,,,
17/3/20,5722,1703,,,,,
18/3/20,7730,2008,,,,,
19/3/20,11719,3989,,,,,
20/3/20,17033,5314,,,,,
21/3/20,23197,6164,,,,,
22/3/20,31879,8682,,,,,
23/3/20,42152,10273,,,,,
24/3/20,51954,9802,,,,,
25/3/20,63928,11974,,,,,
26/3/20,80735,16807,,,,,
27/3/20,99413,18678,,,,,
28/3/20,118234,18821,,,,,
29/3/20,139061,20827,,,,,
30/3/20,160530,21469,,,,,
31/3/20,184683,24153,,,,,
1/4/20,210816,26133,,,,,
2/4/20,239099,28283,,,,,
3/4/20,271988,32889,,,,,
4/4/20,305755,33767,,,,,
5/4/20,332308,26553,,,,,
6/4/20,361331,29023,,,,,
7/4/20,392594,31263,,,,,
8/4/20,423164,30570,,,,,
